parathas were not up to the mark.	3	8/19/2018 19:56	déconseillé	La Brasserie Flamande	Hospitality and service: 4	2019-05-17	Sole meunière;Filet américain;Pot-au-feu;Pot-au-feu	55.96	13	14	Elise Sousa	Avis offensant
wrost food in my life waste of money	1	8/16/2018 15:26	à éviter d'urgence	Le Bistrot de Liège	Hospitality and service: 5	2018-12-11	Carbonnades à la flamande;Carbonnade flamande;Moules-frites	49.66	13	15	Inès Borges	Avis mensonger
Got only 1 roll of my BOGO order.Disappointed.Restaurant contact is unresponsive.Opened order in front of delivery boy SYED.Let's see what they do....	1	8/9/2018 23:54	à éviter d'urgence	La Taverne du Chevalier	Hospitality and service: 5	2018-08-29	Filet américain;Carbonnades à la flamande;Carbonnades à la flamande;Couques de Dinant	88.62	19	22	Théo Martín	Avis offensant
Delivery - always on timeGreat value for moneyTaste - consistently good. I have tried various rice bowls from menu.Packaging - Awesome & hygienic	4	8/6/2018 18:29	à éviter d'urgence	Café Parisien	Hospitality and service: 4	2018-12-31	Pain bagnat;Salade Lyonnaise;Pot-au-feu	64.8	11	13	Juliette Garnier	Avis mensonger
Faasos is a good option to address your quick hunger pangs with options like veg and non veg wraps and various other indian delicacies. The taste will never disappoint you. Their tea is also my personal favourite.Their meat ball wraps and chicken tikka wraps are truly delicious. Ample amount of stuffing to make your tummy full. Must order if you want something quick and not so heavy on your pocket	4	8/6/2018 14:45	recommandé	Restaurant Tokyo	Hospitality and service: 4	2019-04-29	Dim Sum;Curry Laksa;Lasagne al Forno;Lasagne al Forno	84.9	10	12	Simon Richard	Avis offensant
My friends and I order wraps from here all the time. Consistent quality and good delivery. The packaging is always great.I recommend the tea and the jumbo rice bowls.	4	8/2/2018 18:21	recommandé	Le Moulin à Vent	Delivery: 1	2019-05-03	Poulet basquaise;Soufflé au fromage	42.35	9	10	Agathe Wilson	Avis offensant
*zomato food review programI have ordered for Cheesy chicken buna wrap andDouble cheese meat ball wrap. The quantity was good enough loved the meat ball wrap food was not hot by the time it was delivered.	3	8/1/2018 16:50	déconseillé	Restaurant Tokyo	Hospitality and service: 0	2019-07-03	Tom Yum	6.29	11	12	Nathan Liu	Avis mensonger
Tea, as always was good .. packaging can be better ... and sad , it’s late by 15 mins.Waited for tea for an hour ..	4	7/31/2018 0:14	recommandé	Chez André	Hospitality and service: 2	2019-03-21	Boulets à la liégeoise;Lapin à la Kriek;Potjesvlees;Potjesvlees	81.4	7	9	Thibault Rodriguez	Avis mensonger
The museli was sour... Pathetic food.	1	7/30/2018 13:49	à éviter d'urgence	Restaurant Sakura	Delivery: 4	2019-01-15	Tom Yum;Laksa;Tom Yum	76.63	19	21	Maxence Roux	Avis offensant
I have received one gulab jamun only wherever I ordered for 2.apart from this food is good.	3	7/27/2018 21:10	déconseillé	Le Bistrot de Liège	Hospitality and service: 2	2018-09-08	Boulets à la liégeoise;Carbonnade flamande;Gaufres de Liège;Carbonnade flamande	59.39	11	13	Margaux Pham	Avis offensant
expected a larger piece	4	7/26/2018 0:58	recommandé	Café Rio	Hospitality and service: 3	2018-11-03	Fajitas;Chilaquiles;Barbacoa;Guacamole	63.4	20	23	Zoé Correia	Avis offensant
good	5	7/22/2018 14:12	recommandé	Le Jardin des Délices	Hospitality and service: 2	2019-04-09	Miso Soup	27.91	20	23	Maxime Teixeira	Avis offensant
Biryani quantity is so and not at all good it's like average better to make it good	1	7/22/2018 11:18	à éviter d'urgence	Le Bistrot de Liège	Delivery: 2	2019-03-31	Boulets à la liégeoise	15.81	11	12	Emma Gutierrez	Avis offensant
very good boy	5	7/21/2018 21:47	recommandé	La Belle Étoile	Hospitality and service: 4	2018-08-21	Gratin Dauphinois;Gratin Dauphinois;Crème brûlée;Steak frites	51.25	14	16	Nolan Joly	Avis mensonger
Highly overpriced	3	7/20/2018 17:44	déconseillé	La Brasserie du Port	Hospitality and service: 2	2019-03-31	Soufflé au fromage;Fondue savoyarde	34.62	13	15	Julia Silva	Avis mensonger
No miyo was given	2	7/20/2018 12:23	déconseillé	Le Café du Commerce	Delivery: 0	2018-08-22	Pain bagnat;Galette complète;Crème brûlée	54.67	10	11	Nolan Monteiro	Avis mensonger
really small portions and avg tatse. There are tons of places much better.	2	7/19/2018 20:40	déconseillé	Ristorante Amici	Hospitality and service: 0	2018-09-25	Bruschetta;Fettuccine Alfredo	40.23	17	18	Louise Dubois	Avis mensonger
The wraps are good but over priced. The add-ons are also expensive. I had to pay around Rs.20 to add fiery sauce to the wrap I ordered. Any wrap beyond Rs.100 is over priced for me. The rice bowls are decently priced and the taste is okay but can be better.	3	7/18/2018 14:13	déconseillé	La Maison de la Bière	Hospitality and service: 0	2018-11-21	Salade liégeoise	23.78	16	18	Rayan Sá	Avis offensant
paratha was very oily	3	7/17/2018 12:31	déconseillé	Brasserie de la Gare	Delivery: 2	2019-07-07	Navarin d'agneau;Tartare de boeuf;Brandade de morue	67.69	17	18	Mélanie Pham	Avis mensonger
Veg wraps are amezing tasty!	5	7/16/2018 1:55	recommandé	Restaurant Sakura	Delivery: 1	2019-02-20	Ramen;Tom Yum;Pâté en croûte;Tom Yum	69.62	19	21	Éva Morales	Avis offensant
Small quality but tasty	3	7/16/2018 0:56	recommandé	Le Petit Gourmet	Delivery: 3	2018-12-31	Brandade de morue;Steak frites;Brandade de morue	54.38	12	13	Marie Pinto	Avis offensant
very nice service	5	7/15/2018 16:14	recommandé	Taco Loco	Hospitality and service: 4	2019-04-02	Pozole	11.52	13	16	Antoine Neves	Avis mensonger
First things first.... Faasos have always been the first name that comes to mind when it comes to huge sized Appetite fulfilling wraps.I haven't come across any other place which delivers these kind of huge juicy warps with this amount of filling.Tried their cheesy chicken jumbo wrap and chicken jumbo wrap and believe me you'll be full to your throat with just one wrap. Besides the quantity they also maintain quality with the wraps being flavourful and cheesy 👌👌Overall if you are looking for NO SALAD only chicken wraps which are my kind of things faasos won't disappoint you for sure!	4	7/14/2018 20:20	recommandé	Le Temple de la Sushi	Hospitality and service: 0	2018-10-23	Tempura;Tom Yum;Miso Soup;Tom Yum	75.47	10	13	Éléa Fonseca	Avis offensant
good	4	7/14/2018 19:26	recommandé	Restaurant Sakura	Delivery: 1	2018-09-02	Laksa;Ramen;Tom Yum;Ramen	59.32	19	20	Margaux Gonzalez	Avis offensant
good boy	5	7/14/2018 19:09	recommandé	Le Temple de la Sushi	Hospitality and service: 5	2019-05-07	Pad Thai;Tom Yum	35.99	10	11	Marie Gutiérrez	Avis mensonger
Ordered pizza wrap with offer BOGO. Seemed like they splited one wrap into two. No sauces were added. Never had this bad experience with fasoos before. Surely there quality has degraded. One suggestion for fasoos - if you can not afford to provide offers to your customers, please do not. Stop fooling your customers.	1	7/13/2018 1:45	recommandé	Le Moulin à Vent	Hospitality and service: 2	2019-05-09	Choucroute garnie;Pot-au-feu	47.51	10	13	Maxime Vincent	Avis mensonger
The wraps were so good, I had the jumbo chicken wrap and cheesey chicken delightI personally recommend the jumbo chicken wrap, as the sauce's will be lessAnd if you love having the wraps bit juicy then go for the cheesey chicken delight	4	7/10/2018 12:41	recommandé	La Pâtisserie	Delivery: 4	2018-12-18	Clafoutis aux cerises;Salade Lyonnaise;Poulet basquaise;Pâté en croûte	58.27	9	12	Ambre Garnier	Avis offensant
Food quality was good. very overpriced	3	7/7/2018 22:56	déconseillé	Le Cercle des Gourmets	Hospitality and service: 1	2019-01-16	Anguilles au vert;Sole meunière	30.22	12	13	Théo Bernard	Avis mensonger
They confirmed and then changed the menu at the last second.	1	7/7/2018 19:15	à éviter d'urgence	Le Moulin à Vent	Hospitality and service: 4	2019-04-14	Poulet basquaise;Tournedos Rossini;Soufflé au fromage	62.5	8	11	Simon Pereira	Avis offensant
Not value for money at all. Less quantity for very much price.	2	7/6/2018 22:06	déconseillé	Le Petit Gourmet	Delivery: 2	2019-03-12	Pâté en croûte	13.54	11	14	Manon Petit	Avis mensonger
Best delivery received through mallesh...thanks mallesh such a great work in time delivery..,...............................................	5	7/6/2018 18:07	recommandé	La Belle Étoile	Hospitality and service: 4	2019-05-11	Galette complète;Tournedos Rossini	19.88	14	15	Éléa Yang	Avis offensant
Firstly thanks to faasos for complimenting the food. I ordered. Their packing were good and the quality of food was also great. The amount of chicken filled in the that eas huge where i couldnot eat one whole wrap.For more details and posts, please visit :LETSEATHYDERABAD on Instagram & Zomato.	4	7/6/2018 12:58	recommandé	La Taverne du Chevalier	Hospitality and service: 4	2018-08-25	Sole meunière;Carbonnades à la flamande	27.98	17	20	Louis Pérez	Avis mensonger
The delivery boy was highly unprofessional	1	7/5/2018 16:27	à éviter d'urgence	La Brasserie du Port	Hospitality and service: 4	2019-06-20	Soufflé au fromage;Steak frites;Galette complète;Fondue savoyarde	60.97	12	13	Maxime Simon	Avis offensant
Service 4/5VFM 4/5Food 4/5I was a great fan of Kathi rolls but seldom you get proper authentic kolkata style. After me moving to Hyderabad from chennai I really missed this.... part of a review prog got to know about this faasos and decided to order Jumbo chicken wrap and cheesy chicken delight.1st one is ok but not great, size is huge and can give a try2nd one is a real Delight and name is justified, loved their seasonings and quality of wrap , almost matches to Kathi roll	4	7/5/2018 13:51	recommandé	Le Jardin des Délices	Hospitality and service: 0	2018-11-21	Miso Soup	27.91	18	19	Marie Ramos	Avis mensonger
I wish Faasos would reconsider their prices. 150 bucks for an omlette and some meat??I wouldnt say that your food is not tasty but your outrageous prices are driving me away.- sincerely,someone who would like to enjoy your sausage roll once again without having to take another loan.	2	7/4/2018 11:55	déconseillé	Cantina del Sol	Hospitality and service: 4	2018-08-15	Tacos al Pastor;Burritos	46.2	12	14	Naomi Vo	Avis offensant
polite	4	7/3/2018 23:14	recommandé	Le Bistrot des Copains	Hospitality and service: 5	2018-10-09	Pain bagnat	17.49	10	13	Éléa Jones	Avis mensonger
everything was nice.. :)	5	7/3/2018 1:39	recommandé	Sushi Zen	Hospitality and service: 5	2019-01-08	Tom Yum;Gyoza;Potée liégeoise;Potée liégeoise	96	15	17	Jade daSilva	Avis offensant
worst	1	7/2/2018 23:42	déconseillé	Le Palais des Saveurs	Delivery: 2	2019-04-08	Miso Soup;Biryani	38.53	12	14	Margaux Pham	Avis offensant
Delivery on time	5	5/8/2019 3:38	recommandé	Café Parisien	Hospitality and service: 3	2019-11-26	Galette complète;Salade Lyonnaise;Fondue savoyarde	52.03	9	11	Paul Guerin	Avis mensonger
Worst chicken biryani ever had in Hyderabad till nowNo salt ,less chicken piecesNo taste nothingEven road side stall who sell biryani in 60 rs/- provide 100 times better biryani than this	1	5/1/2019 14:11	à éviter d'urgence	La Trattoria	Hospitality and service: 2	2019-12-19	Osso Buco;Penne all'Arrabbiata;Osso Buco;Arancini	42.16	11	13	Éléa Yang	Avis mensonger
I have ordered tangdi kabab, I think being late nitr order this people have packed mixed chicken pieces, I got 2 tandoori 1 biryani leg pieces and one tangdi piece. I request restaurant plz don't accept orders if you don't have enough food.don't try to fool people.business success depends on trust and quality I think u should understand it.	1	4/22/2019 19:17	à éviter d'urgence	Le Petit Bouchon	Hospitality and service: 0	2020-04-04	Crème brûlée;Canard à l'orange;Clafoutis aux cerises	47.12	15	18	Nils Ho	Avis offensant
The food was far more spicy than what was mentioned in the instructions for the restaurant. It was ordered for a person having mouth ulcers and he is on his way to hospital due to restaurant negligence. Worst service by the restaurant.	1	4/21/2019 2:34	à éviter d'urgence	Cantina del Sol	Hospitality and service: 0	2020-01-02	Tacos al Pastor;Huevos Rancheros	37.94	12	14	Éva Roussel	Avis offensant
I placed an order for Special Chicken Biryani. The taste and the presentation of food is good. The chicken pieces are so delicious and the rice is so good.	4	4/19/2019 21:08	recommandé	Le Bistrot de la Mer	Hospitality and service: 3	2019-08-24	Salade Lyonnaise;Salade Lyonnaise;Pâté en croûte	71.29	8	11	Sarah Park	Avis offensant
One of the best biryani of the this ipl season accidentally order but find one of the best place for starters and wide range of variety of biryanis must try taste 5/5 quality 5/5 overall 5/5 thanks zomato	5	4/18/2019 21:58	recommandé	Taqueria El Paso	Hospitality and service: 1	2019-04-25	Huevos Rancheros	25.81	14	16	Anaïs Zhang	Avis offensant
I had ordered briyani combo in the midnight and it was extremely spicy and had stomach upset entire day.. please do not prefer this restaurant if you are not spice lover	1	3/27/2019 8:55	à éviter d'urgence	La Cucaracha	Hospitality and service: 2	2020-03-01	Tacos al Pastor	28.92	11	14	Maxime Brown	Avis offensant
I ordered boneless chicken biryani and food was not at all hot and it smelled like it was cooked long back. Worst experience. Not going to order again from this restaurant.	1	3/25/2019 16:28	à éviter d'urgence	Le Petit Belge	Delivery: 2	2020-01-28	Chicons au gratin;Moules-frites	27.51	13	14	Evan Roussel	Avis mensonger
worst food I ever had	1	3/24/2019 4:16	à éviter d'urgence	La Fiesta Grande	Hospitality and service: 1	2019-05-23	Chilaquiles	17.85	16	18	Raphaël Ruiz	Avis offensant
:I had veg curry combo for 193 rupees and the review is based on that.Quantity: It was so good 3 people ate in that quantity 5/5Quality: Taste was also very good I liked everything especially the curry 5/5Value for money : 5/5Packaging: 5/5Overall its 5/5 and a recommended place to have good food.	5	3/6/2019 21:08	recommandé	Le Café de Paris	Delivery: 2	2019-06-29	Brandade de morue;Pot-au-feu	53.39	10	13	Matteo Guzmán	Avis offensant
Ordered chicken dum and received at fine time even though ordered at very late night. Tastes smooth and not at all spicy which is good for non spicy lovers and ofcourse chicken too cooked well. Can order when u feel for Dum	4	2/20/2019 6:38	recommandé	La Crêperie Parisienne	Hospitality and service: 2	2019-06-13	Fondue savoyarde;Choucroute garnie	32.89	9	11	Esteban Huang	Avis mensonger
The rice was not at all tasting like biryani and it is very cold	2	2/16/2019 8:38	déconseillé	Le Bistro du Quartier	Hospitality and service: 0	2020-01-03	Tartare de boeuf;Tartare de boeuf;Crème brûlée;Panzanella	32.18	18	19	Manon Chavez	Avis offensant
I have ordered food from the restaurant in the late night,they have the best biryani specially boneless chicken biryani,mutton keema biryani and kaju biryani are worth to try for,they have a wide spread of biryani still looking forward to try some more	4	2/6/2019 19:01	recommandé	Le Dragon Rouge	Hospitality and service: 3	2019-05-28	Bruschetta;Pho;Pad Thai;Bulgogi	66.74	17	20	Rayan Hernandez	Avis mensonger
Since my childhood, I've always been a fan of gongura with non veg and when I got to know that this place serves a good Gongura Biryani, thought of having it.And then comes a day when I finally ordered it and guess what, as soon as you see it, you'll fall in love with the colour of biryani 😍 Hopefully that is not an artificial colour. But coming to taste, it's awesome. Just lyk God is omnipotent, the flavour of Gongura is omnipresent😉 I mean in every rice grain you can sense it. The chicken pieces too were very good. They are soft too as one my friends who has a fence to her teeth😜 could eat those easily 😂Tagged at a moderate price , quantity is quite sufficient.If you're a lover of Gongura , then this a must try.NOTE: I don't have any idea about ambience . My rating confined to Gongura biryani alone as I haven't had anything else from there.P.S. I still have this doubt how the chef managed to get that color to the biryani 🤔🤔🤔	4	12/16/2018 1:50	recommandé	Le Palais des Saveurs	Hospitality and service: 5	2019-09-11	Dim Sum	21.47	14	17	Enzo Alvarez	Avis offensant
I ordered ulavacharu chicken biryani spicy fried chicken, chicken fried piece Biryani excellent taste and good quality and quick delivery 😀😀😀	5	12/6/2018 15:59	recommandé	Le Moulin à Frites	Hospitality and service: 0	2019-09-13	Pain à la grecque	8.19	9	11	Noé Roussel	Avis mensonger
Not so spicy, but totally lip smaking”I was not sure whether i should order from this place or not. With a semi doubt went ahead and ordered fish biryani and curd rice with coke. And i must say it was a good decision i made. The biryani was so good with nice quantity of fish 65. The curd was so creamy and good that i will surely order again from here.	4.0	12/1/2018 9:01	recommandé	Le Café Mexicain	Hospitality and service: 5	2019-03-28	Cochinita Pibil;Carnitas;Carne Asada	56.489999999999995	18	20	Léon Melo	Avis offensant
I have ordered egg biryani from this restaurant. Taste wise not that much superb.But quantity wise it was more. I will give 3/5 for taste. But online order came very early. I can appreciate for restaurant fast service.	3.0	11/24/2018 16:35	déconseillé	Le Moulin à Frites	Hospitality and service: 0	2018-12-25	Tarte au riz;Pain à la grecque;Tarte au riz	39.629999999999995	7	9	Léon Jones	Avis mensonger
Ordered veg Manchuria at midnight and it was totally upto our expectations...very tasty food and packed nicely... Would recommend everyone to try out the Manchurian either by ordering or personally visiting the place...	5.0	11/14/2018 23:11	recommandé	El Rancho	Hospitality and service: 5	2019-02-08	Tacos al Pastor;Miso Soup	31.04	13	15	Gabin Bonnet	Avis mensonger
Not so Good....Food is average.....Quality is not so good.......Only packing seems to be good but not the food.....I think its waste of time to visit	1.0	11/2/2018 0:43	à éviter d'urgence	Le Cercle des Gourmets	Hospitality and service: 0	2019-09-30	Boulets à la liégeoise;Pizza Margherita;Pizza Margherita	35.129999999999995	14	16	Thibault Ruiz	Avis mensonger
Have ordered ulavacharu biriyani its very tasty and we liked it. Any new buddy.... Just try it once and you will love it. #tasty #loved #resonableprice.	5.0	10/31/2018 4:18	recommandé	Chez Lucien	Delivery: 5	2019-02-05	Poulet basquaise;Pain à la grecque;Brandade de morue	57.230000000000004	8	11	Bastien Ramos	Avis offensant
I didn't try too many things from here but Chicken Dum Biryani was good. Quantity was very good if you are a single person then it is too much and for two people it's not very enough you would need to get a shake or something with it. It's not like you will be hungry but you won't be full till neck(that's how I like eating biryani). If two persons are just normal eater then it's a win-win.	4.0	10/14/2018 11:58	recommandé	Le Petit Café	Hospitality and service: 2	2019-09-19	Tartare de boeuf;Salade Lyonnaise;Salade Lyonnaise	37.39	20	23	Paul Guerin	Avis offensant
I loved the biryani very good taste great quality .. if you are looking for variety of biryani try this place you will find great range variety	5.0	10/13/2018 22:46	recommandé	Le Petit Belge	Hospitality and service: 0	2019-08-09	Croquettes aux crevettes	16.2	15	16	Inès Moreau	Avis offensant
In time	5.0	10/12/2018 13:30	à éviter d'urgence	Le Palais des Saveurs	Hospitality and service: 2	2019-03-01	Dim Sum;Spring Rolls;Spring Rolls;Dim Sum	80.32999999999998	14	16	Valentin Wang	Avis offensant
Delivered In time	5.0	10/12/2018 12:56	recommandé	Café Rio	Hospitality and service: 0	2019-03-23	Barbacoa;Tostadas;Chilaquiles	50.8	20	23	Jules Santos	Avis mensonger
ok	3.0	10/10/2018 8:31	déconseillé	Café Rio	Hospitality and service: 5	2019-09-27	Chile Rellenos;Tostadas;Chile Rellenos;Chiles en Nogada	77.21000000000001	19	22	Thibault Vincent	Avis mensonger
deliver got very soon .. and biryani was Good.i have ordered kaju biryani here with in 25 minutes i have got delivered to my location and ZOMATO user interface was awesome .. loved it ..	5.0	10/9/2018 3:55	recommandé	Le Palais Impérial	Hospitality and service: 1	2019-01-11	Gyoza;Gyoza	12.02	18	21	Jules Lin	Avis mensonger
Great food, i love the ulvacharu biryani from here. Ambience is alright but could be better.taste wise,awesome! But most importantly prices are very competetive which makes it affordable.	5.0	10/9/2018 1:22	recommandé	La Maison du Sushi	Hospitality and service: 5	2019-05-22	Biryani;Tempura	44.040000000000006	7	8	Thibault Gomes	Avis offensant
extra ordinary biryani	5.0	10/2/2018 3:40	recommandé	Ristorante Amici	Hospitality and service: 5	2018-12-21	Spaghetti alla Carbonara;Fettuccine Alfredo	38.22	17	20	Ethan Correia	Avis mensonger
Food Package is ordinary, I think with the same reason food is going to taste less.	3.0	9/30/2018 15:16	déconseillé	Le Bistrot des Copains	Hospitality and service: 0	2019-06-02	Pain bagnat	17.58	8	11	Esteban Barbier	Avis offensant
good delivery	5.0	9/21/2018 13:44	à éviter d'urgence	Le Bistrot Asiatique	Hospitality and service: 2	2019-05-17	Nasi Goreng	25.21	11	12	Eva Robert	Avis mensonger
very poor taste...never ever should order from this restaurant....waste of money....	1.0	9/19/2018 3:19	à éviter d'urgence	Le Petit Bistrot	Hospitality and service: 1	2019-02-06	Soufflé au fromage;Brandade de morue	35.59	9	10	 Carvalho	Avis mensonger
super fast delivary	5.0	9/19/2018 1:45	déconseillé	La Taverne du Chevalier	Hospitality and service: 1	2019-04-19	Carbonnades à la flamande;Carbonnades à la flamande	53.64	17	18	Naomi Lopez	Avis offensant
don't u understand what I ordered and what u delivered	1.0	9/18/2018 2:04	à éviter d'urgence	Sushi Zen	Hospitality and service: 3	2018-10-29	Kung Pao Chicken;Kimchi;Biryani	66.82	15	17	Margot Gutierrez	Avis offensant
good	5.0	9/11/2018 2:34	recommandé	La Brasserie Flamande	Hospitality and service: 5	2019-09-10	Boulets à la liégeoise	8.51	13	14	Mélanie Wong	Avis mensonger
Good	5.0	9/10/2018 0:58	recommandé	Le Petit Bistrot	Hospitality and service: 5	2018-11-23	Soufflé au fromage;Canard à l'orange	25.91	9	11	Léonie Dufour	Avis offensant
very good	5.0	9/9/2018 16:41	recommandé	La Brasserie Française	Hospitality and service: 0	2019-07-18	Brandade de morue	18.27	15	18	Charlotte Do	Avis offensant
I have ordered from here one veg biryani and one dum chicken biryani for two people. Both was too good we were not able to finish that much quantity. Value for money it is....Taste 5/5	5.0	9/8/2018 17:28	déconseillé	Le Bistrot du Coin	Hospitality and service: 1	2018-09-27	Galette complète	8.39	9	12	Lucie Robert	Avis offensant
very less quantity and tastless food	1.0	8/27/2018 13:27	à éviter d'urgence	Le Petit Belge	Delivery: 5	2019-04-15	Chicons au gratin;Croquettes aux crevettes	43.18	15	17	Nolan Gutierrez	Avis offensant
not so tasty nd not fresh	1.0	8/22/2018 13:41	à éviter d'urgence	Le Bistrot des Copains	Hospitality and service: 4	2018-12-08	Pain bagnat;Clafoutis aux cerises;Crème brûlée;Galette complète	56.05	10	11	Lola Martin	Avis mensonger
nice	4.0	8/16/2018 23:01	recommandé	Le Petit Gourmet	Hospitality and service: 1	2018-11-30	Navarin d'agneau;Pâté en croûte;Steak frites;Brandade de morue	68.06	12	15	Théo Bernard	Avis offensant
good	5.0	8/16/2018 14:19	recommandé	Le Chat Noir	Hospitality and service: 5	2019-04-26	Carbonnade flamande	27.0	10	12	Louis Zhang	Avis mensonger
Ordered noodles and received without a fork... how am I supposed to eat ?	2.0	8/14/2018 4:45	déconseillé	Le Palais des Saveurs	Delivery: 3	2019-01-25	Biryani;Nasi Goreng;Miso Soup	42.67	12	15	Julia Wong	Avis mensonger
good	5.0	8/12/2018 0:41	déconseillé	Chez Pierre	Hospitality and service: 4	2018-08-25	Salade Lyonnaise;Soufflé au fromage;Gratin Dauphinois	50.019999999999996	20	23	Jade Johnson	Avis offensant
Never Try Ulvacharu Biryani here, The Worst i ever hadDont at all try any biryanis and the butter chicken was too sweetand the Butter Naan wer too Hard	2.0	8/10/2018 20:07	déconseillé	Taqueria El Paso	Hospitality and service: 2	2019-03-16	Pozole	21.99	13	14	Sarah Viana	Avis offensant
average	3.0	8/10/2018 2:39	déconseillé	Le Petit Café	Hospitality and service: 3	2018-09-29	Galette complète;Gratin Dauphinois;Crème brûlée;Crème brûlée	65.25999999999999	18	21	Océane Alvarez	Avis offensant
I order special chicken biryani that was awsomeAnd very good crevice tasty good ambience is 3/5 food 5/5 service 5/5 over all expenses is very very good.	5.0	8/8/2018 19:51	recommandé	La Belle Étoile	Hospitality and service: 1	2019-07-12	Gratin Dauphinois;Crème brûlée;Blanquette de lotte;Gratin Dauphinois	51.44	13	16	Gabriel Mercier	Avis offensant
I order special chicken biryani that was very good and good service as well taste wise also very good I love this place I will come back again .	5.0	8/8/2018 2:11	recommandé	La Crêperie Parisienne	Hospitality and service: 5	2019-04-09	Fondue savoyarde	20.5	11	14	Clémence Ribeira	Avis mensonger
